Section_E,Section_M,Weight_E,Weight_M,Area_E,Area_M,Depth_E,Depth_M,Flange_Width_E,Flange_Width_M,Flange_thick_E,Flange_thick_M,Web_thick_E,Web_thick_M,Coating_area_E,Coating_area_M,XX_I_E,XX_I_M,XX_S_E,XX_S_M,XX_Z_E,XX_Z_M,XX_r_E,XX_r_M,YY_I_E,YY_I_M,YY_S_E,YY_S_M,YY_Z_E,YY_Z_M,YY_r_E,YY_r_M
Units_English,Units_Metric,lb/ft,kg/m,in2,cm2,in,mm,in,mm,in,mm,in,mm,ft2/ft,m2/m,in4,cm4,in3,cm3,in3,cm3,in,cm,in4,cm4,in3,cm3,in3,cm3,in,cm
HP 8x36,HP 200x54,36,54,10.6,68.4,8.02,204,8.16,207,0.445,11.3,0.445,11.3,3.92,1.21,119,4980,29.8,488,33.6,552,3.36,8.53,40.3,1670,9.88,162,15.2,249,1.95,4.95
HP 10x42,HP 250x62,42,62,12.4,79.8,9.7,246,10.1,256,0.42,10.7,0.415,10.5,4.83,1.5,210,8750,43.4,711,48.3,792,4.13,10.5,71.7,3000,14.2,234,21.8,358,2.41,6.13
HP 10x57,HP 250x85,57,85,16.7,109,9.99,254,10.2,259,0.565,14.4,0.565,14.4,4.91,1.5,294,12300,58.8,968,66.5,1090,4.18,10.6,101,4230,19.7,325,30.3,500,2.45,6.23
HP 12x53,HP 310x79,53,79,15.5,99.8,11.8,299,12,306,0.435,11,0.435,11,5.82,1.8,393,16300,66.7,1090,74,1210,5.03,12.8,127,5260,21.1,344,32.2,525,2.86,7.26
HP 12x63,HP 310x94,63,94,18.4,119,11.9,303,12.1,308,0.515,13.1,0.515,13.1,5.86,1.81,472,19600,79.1,1300,88.3,1450,5.06,12.9,153,6390,25.3,415,38.7,635,2.88,7.33
HP 12x74,HP 310x110,74,110,21.8,141,12.1,308,12.2,310,0.61,15.5,0.605,15.4,5.91,1.83,569,23700,93.8,1540,105,1730,5.11,13,186,7710,30.4,497,46.6,763,2.92,7.4
HP 12x84,HP 310x125,84,125,24.6,159,12.3,312,12.3,312,0.685,17.4,0.685,17.4,5.97,1.84,650,27000,106,1730,120,1960,5.14,13,213,8820,34.6,566,53.2,870,2.94,7.45
HP 12x89,HP 310x132,89,132,25.9,167,12.36,314,12.32,313,0.72,18.3,0.72,18.3,6.04,1.84,689,28700,111.6,1830,126.3,2070,5.16,13.1,225,9370,36.5,599,56.2,922,2.94,7.48
HP 12x102,HP 310x152,102,152,29.9,193,12.56,319,12.64,321,0.819,20.8,0.819,20.8,6.17,1.88,811,33800,129.3,2120,147.6,2420,5.2,13.2,276,11500,43.7,716,67.1,1100,3.04,7.71
HP 12x117,HP 310x174,117,174,34.4,222,12.76,324,12.87,327,0.929,23.6,0.929,23.6,6.26,1.91,946,39400,148.2,2430,170.8,2800,5.24,13.3,331,13800,51.4,843,79.3,1300,3.11,7.89
HP 14x73,HP 360x108,73,108,21.4,138,13.6,346,14.6,370,0.505,12.8,0.505,12.8,6.96,2.15,729,30300,107,1750,118,1940,5.84,14.8,261,10800,35.8,585,54.6,891,3.49,8.86
HP 14x89,HP 360x132,89,132,26.1,168,13.8,351,14.7,373,0.615,15.6,0.615,15.6,7.02,2.16,904,37500,131,2140,146,2380,5.88,14.9,326,13500,44.3,724,67.7,1110,3.53,8.96
HP 14x102,HP 360x152,102,152,30.1,194,14,356,14.8,376,0.705,17.9,0.705,17.9,7.06,2.18,1050,43900,150,2470,169,2770,5.92,15,380,15900,51.4,845,78.8,1290,3.56,9.05
